woyoubushichanggede	我又不是唱歌的
qifunilexixinia	欺负你了惜惜你啊
woyishangwudouyoukongjiushi	我一上午都有空就是
fanzhengjintiandejiedoushiwanle	反正今天的节都是玩了
zuijinyoujiangxihuanchuandao	最近又酱喜欢穿到
zenmehaibunengdaode	怎么还不能到的
zenmehaibunengdaode	怎么还不能到的
guoranhaishijuedehaonanguoa	果然还是觉得好难过啊
mingtianwobujinikeyima	明天我补给你可以吗
yourenxiangtuiwojinqu	有人想推我进去
wozheibianhaishihenda	我这边还是很大
zheiyangtabushihengaoxing	这样他不是很高兴
youmeiyoushoudaowode	有没有收到我的
shoulihaiyoubaifenzhi	手里还有百分之
jiaotabuyongdengyigexingqile	叫他不用等一个星期了
nanrenbuhuainu:renbuai	男人不坏女人不爱
wolikezhadaobuxing	我理科渣到不行
yinweigongweibushuangde	因为工委不爽的
dajiaqianqiwuhaoshangdang	大家千其唔好上当
dannizhiyaoyoulepifeng	但你只要有了披风
baguashuapingshoubuniao	八卦刷屏受不鸟
zheizhongdifangshangcesuozenmejiejue	这种地方上厕所怎么解决
woshishuowobushibuganjiewen	我是说我不是不敢接吻
nijuedewoyaohetaqianshouma	你觉得我要和他牵手嘛
jintianwohuijiakendinghenchile	今天我回家肯定很迟了
yuanlaixidehuabijiaoshuangha	原来吸的话比较爽哈
yuanlaixidehuabijiaoshuangha	原来吸的话比较爽哈
luanluanshifangrengele	乱乱释放人格了
longmaoshubaonu:zhongxueshengpi	龙猫书包女中学生皮
zheijiushisuoweidemalaixiya	这就是所谓的马来西亚
zuotianshuizheleduibuqi	昨天睡着了对不起
shoubuqitadeduibuqi	受不起她的对不起
bushimeigerenhaoxiangnijiangxiangma	不是每个人好像你将想嘛
ribenzheibianyeshizhijiezoude	日本这边也是直接走的
danwojiushijuedetaixiangle	但我就是觉得太想了
huashuowomenyaobuyaojiao	话说我们要不要叫
zeihanzhuozeizhenshixiaosibaobaole	贼喊捉贼真是笑死宝宝了
maowobaziruhekanle	冇我八字如何看叻
keshiwomamayizhishuoquzainiye	可是我妈妈一直说去载你也
haizaineibianjiangfenglianghua	还在那边讲风凉话
neishicanlieheneige	那是灿烈和那个
wanshangyikaishidadianhualaishuodingwei	晚上一开始打电话来说定位
yifunalainengdaichulaima	衣服拿来能带出来吗
youyouyigehaohaoji	又有一个好好既
bingqilinjiubutiana	冰淇淋就不甜啊
woburenweinijianguowobaba	我不认为你见过我爸爸
xiaozhangshuobunengjitaiduozhongdian	校长说不能给太多重点
neinijiubuyaojitala	那你就不要给他啦
yudaotongyangqingkuangwohaishiyiyang	遇到同样情况我还是一样
wodoubudongzhongguoduoshaoci	我都不懂中过多少次
bielishijianjixuwanba	别理时间继续玩吧
shoujiyegenzheguanjile	手机也跟着关机了
yidieryibiegaoxing	一滴而已别高兴
youshenmehaozhenfama	有什么好阵法吗
nibuhuizijizaodianqume	你不会自己早点去么
nimenfunu:haoyoumoa	你们父女好幽默啊
shibushigennu:piaoqude	是不是跟女票去的
nidoumeiyouquedingneige	你都没有确定那个
nixianqumangnidedongxiba	你先去忙你的东西吧
woyebuhuixianqishenmedongxi	我也不会嫌弃什么东西
neihaidewennizijila	那还得问你自己啦
huiliderendouzaiwenni	会里的人都在问你
yinweineigemingzihenmianshu	因为那个名字很面熟
neiyeshigexiaolaobanba	那也是个小老板吧
wodaidianhuaqujininong	我带电话去给你弄
niyiweinixianzaihennianqinga	你以为你现在很年轻啊
nikannengbunenglianxishang	你看能不能联系上
gebishimaiyundongqicaideneijiane	隔壁是卖运动器材的那间哦
wojintianlaodaomeile	我今天老倒霉了
tahentengtanu:pengyoudele	他很疼他女朋友的叻
nimalaixiyanali	你马来西亚哪里
tayoubuhuichileni	他又不会吃了你
yinweiwodeweixintupian	因为我的微信图片
heiheizheigeshijisuanjiyouxilaide	嘿嘿这个是计算机游戏来的
sheiyaochanggejiwoting	谁要唱歌给我听
niyinggaiyehenleiba	你应该也很累吧
nanguailinzhongyichicu	难怪林忠逸吃醋
wokeyixianzaijini	我可以现在给你
womenzuotianwandaojifeng	我们昨天玩到几疯
yaoyebuhuiyaoneige	要也不会要那个
wentishiyongxinzuomemeiyouhuiwo	问题是咏欣做么没有回我
shizhendehenduoxiade	是真的很多下的
yuanlebuxiaoxinbeidaidaozhenshi	远了不小心被逮到真是
wodierbenbaobijiaomei	我第二本报比较美
meicidoukannihenzaoshuide	每次都看你很早睡的
dengnilaiyijingzaiwoduzilile	等你来已经在我肚子里了
burunijiwoqianwocaikai	不如你给我钱我才开
yihouxiangchilayejiuzhaowo	以后想吃辣野就找我
weishenmeyaoshengdidideqi	为什么要生弟弟的气
pingshiwucanshijianzai	平时午餐时间在
zheicishijiandaoleba	这次时间到了吧
jianguotaiduorenlayinwei	见过太多人啦因为
weishayaodachuzuche	为啥要搭出租车
woyoumeiyoulanyanguannipishi	我有没有蓝颜关你屁事
meicidouchuzhuangtaidelata	每次都出状态的啦它
dinglejishinengnadao	订了几时能拿到
wozhiqiangeweixinyongwudao	我之前个微信用吴到
nijiarenzhidaonichu	你家人知道你出
woshanchudoudenghaojiu	我删除都等好久
wonu:piaozhangdehenpiaoliangmeicuo	我女票长得很漂亮没错
woshiguanbiletongzhilandexiaoxi	我是关闭了通知栏的消息
woxianzaizaiwaipojia	我现在在外婆家
buyaozaiyineixiexijie	不要在意那些细节
gangkanwanyouqugansha	刚看完又去干啥
bakananshoubuziaiban	把卡难受不自爱办
yourengenwoshuoxiaoshuohenxianshi	有人跟我说小说很现实
ngneinigaosupiqi	嗯那你告诉脾气
womenxishihuilaizaibaomingma	我们系是回来再报名吗
changtingjianxiayudeshengyin	唱听见下雨的声音
wozheishizaiguoshengri	我这是在过生日
weishenmedamasaike	为什么打马赛克
kenengtabushiwenni	可能他不是问你
woyeyaozuonu:qiangren	我也要做女强人
meiyounaguozheiyangdechengji	没有拿过这样的成绩
neiniqingleduoshaotianjia	那你请了多少天假
yaozhuazhuyiqienengshuijuedejihui	要抓住一切能睡觉的机会
yihouyinggaimeidezheizhongqingkuangle	以后应该没得这种情况了
zhiyaoquanbujigejiuhaole	只要全部及格就好了
yanhuayilengneiyingzhandui	烟花易冷那英战队
buyaobuyaowoyaoquzhuce	不要不要我要去注册
xiadouyoudejincuokai	系啊都有得禁错嘅
wozaijialikanweizhuangzhe	窝在家里看伪装者
bailiuqulaorenyuanwokeyi	拜六去老人院我可以
heshangnibushigenshengqulema	和尚你不是跟圣去了吗
heshangdengyixiaxianhaoma	和尚等一下先好吗
wozhishinidezhuzhueryi	我只是你的猪猪而已
keshiwodeyanpiyaogaile	可是我的眼皮要盖了
jieguojintianjiwangle	结果今天给忘了
wodeshuangbaotaididilaide	我的双胞胎弟弟来的
zhendezuotianshuizhele	真的昨天睡着了
xiayuwodengxiaxiashanxiaoxindian	下雨喔等下下山小心点
yangjiahukoudeburongyiya	养家糊口的不容易呀
zuijinfaxialaideshijuan	最近发下来的试卷
danxijuyouchengriquwen	但系佢又成日去搵
niqiutiangenwochulaijiu	你秋天跟我出来就
chayidianeryilehaha	差一点而已勒哈哈
xianzaigaosuhaiduma	现在高速还堵吗
pinglunquzheiyanghaoma	评论区这样好吗
xuyaoqizhongliangheshenmedeshi	需要其中两盒什么的是
zhongyaobuweidouyongpaopao	重要部位都用泡泡
zheihuiwobuhuirencuole	这回我不会认错了
wozheizhoumoyaoqumaigebingxiang	我这周末要去买个冰箱
bijingmeiyouchoudaoguoxingyunzhaohuanshi	毕竟没有抽到过幸运召唤师
wojiuyijianyitiande	我就一件一天的
yaoxiezuoyejiuzunxindian	要写作业就尊心点
ganjinriqujiangjunao	甘今日去将军澳
menwomenkandedoushi	门我们看得都是
zuijinyuenanmeikaishiyuelaiyue	最近越南妹开始越来越
weilianzhengshifabule	威廉正式发布了
bunengdehuayemeibanfaya	不能的话也没办法丫
wodengjiananhuilaizaiwo	我等建安回来载我
youmeiyouxingqulahouzhizhangni	有没有兴趣拉齁智障腻
jiushijiangnishededawola	就是讲你舍得打我啦
wangjiyaogennijiangshenmere	忘记要跟你讲甚么惹
shundaiyitizuoyewoxiewanle	顺带一提作业我写完了
jimangujilongpozhihou	继曼谷吉隆坡之后
jilongpodeshuangzita	吉隆坡的双子塔
woyeshizaizuozhea	我也是在做着啊
liangtianmeichidamile	两天没吃大米了
gujiwodoushuizhele	估计我都睡着了
nixihuannaliyige	你喜欢哪里一个
xinghaodawancaiduanxian	幸好打完才断线
nimenjishizuoyeshi	你们几时做夜市
niqubuqujianshajudiyanhua	你去不去尖沙咀睇烟花
woshoujiufangzaishoujishangdengzhede	我手就放在手机上等着的
woshoujiufangzaishoujishangdengzhede	我手就放在手机上等着的
zijiyekeyipinpinyunqise	自己也可以拼拼运气涩
zijiyekeyipinpinyunqise	自己也可以拼拼运气涩
nizuozaoshanghaishiwanshang	你做早上还是晚上
tashiwomenzhongzhengde	她是我们中正的
conglaizhiyouniduiwoshiwang	从来只有你对我失望
wojiayoubuzaihuochedaogenqian	我家又不在火车道跟前
wojiayoubuzaihuochedaogenqian	我家又不在火车道跟前
tayibanwanshangdaiwochihaochide	她一般晚上带我吃好吃的
ganggangbushishuoyounanyoulema	刚刚不是说有男友了吗
douwangjitashuoshenmele	都忘记他说什么了
heshendaodarenqiushouyang	河神到大人求收养
buguoyebudongshibushigangde	不过也不懂是不是杠的
benrenzaicidiyashouzhi	本人在此抵押手指
laibujigennishuobuyao	来不及跟你说不要
shuowangjidaiwodezhimole	说忘记带我的指模了
ranerbingmeiyoushenmequbie	然而并没有什么区别
bushichiwanliaodemie	不是吃完料的咩
zheibutiantianxiangzheme	这不天天想着么
jinwanzaoshuikeyile	今晚早睡可以了
daozuihouyaodiduishou	到最后要睇对手
woyezuiaibaobeila	我也最爱宝贝啦
niyeshigougoudele	你也是够够的了
yushiwomeiyouyongduiyingde	于是我没有用对应的
nideqinqiburangwozou	你的亲戚不让我走
zaibingxianglimianzuogong	在冰箱里面做工
xinlaidedaitouzuoluan	新来的带头作乱
nimenyoucanjiashashetuanma	你们有参加啥社团吗
wobawodeliangzhijitaxianle	我把我的两支给他先了
mingtianzaodianhuilaichiwozhude	明天早点回来吃我煮的
niyoudehuajidezhaozhangyisheng	你有的话记得找张医生
woxiangbianchengyigegaolengdedoubi	我想变成一个高冷的逗比
yishibanhuimingbaibulea	一时半会明白不了啊
tamendoujingyawoda	他们都惊讶我打
xiaogehaishikeyichangliangshou	小歌还是可以唱两首
lianggeshifuanmogantan	两个师傅按摩咁叹
ejinikankanwode	额给你看看我的
dataobaoshiwodeai	大淘宝是我的爱
dingledoumeigenwoshuoyisheng	定了都没跟我说一声
neiwonahuilaimaidebude	那我拿回来卖得不得
duojitiankeyijiaohuojitamenla	多几天可以交货给她们啦
wozhengdengniyiqilaixi	我正等你一起来洗
zenmeshuowobuaini	怎么说我不爱你
cankudeshishizongdeyaomiandui	残酷的事实总得要面对
ailunshishenmeyishi	艾伦是什么意识
meimeiyinggairanggege	妹妹应该让哥哥
yiweiwoshiyangfangwanwan	以为我是杨芳晚晚
zaozhidaogenlaiqukankan	早知道跟来去看看
tulufandaowulumuqidongche	吐鲁番到乌鲁木齐动车
nidaoxianzaicaizhidao	你到现在才知道
nizhenmingjiaoshalaizhe	你真名叫啥来着
nishuodeshiniwulibangdianba	你说的是你屋里帮甸吧
buzhidaoyaoxiezainalisuoyi	不知道要写在哪里所以
yaowoquzaitafanggong	要我去载她放工
yaobuyihuihouningpochanle	要不一会侯宁破产了
wozhidaokewoxihanguanyu	我知道可我稀罕关羽
diannaoyunxingzenmeheiping	电脑运行怎么黑屏
congneiliwozuobuhaoche	从那里我坐不好车
jinimenwanhaowandeyouxi	给你们玩好玩的游戏
qiantiyedeyouhaokandeya	前提也得有好看的呀
wohaiyaozhunbeizuofan	我还要准备做饭
adideyanhuinongzai	啊低得烟灰弄在
wogugenwoshuojintiankelengle	我姑跟我说今天可冷了
dengxiashengbingcaizhidao	等下生病才知道
zaishuijiuxingbulaile	再睡就醒不来了
zaishuijiuxingbulaile	再睡就醒不来了
neishihouhaimeizuohaozhunbei	那时候还没做好准备
cuolejinichiniunai	错了给你吃牛奶
woyaozhaoyigeyoupiaoliangyou	我要找一个又漂亮又
mamarangwojitakan	妈妈让我给她看
nishibushibuxiangwo	你是不是不像我
jiunimenliangzhidaowozuichoudeshunjian	就你们俩知道我最丑的瞬间
shuowolaodaochuluanpaorangwodaizaijia	说我老到处乱跑让我呆在家
wozenmedaodianyingyuan	我怎么到电影院
nizenmezhidaohuidong	你怎么知道会动
nimenzuoyedouxiewanle	你们作业都写完了
tashuotahenisuandoushi	他说他和你算都是
jidujiaobuxintongzhenkeyihuaiyun	基督教不信童贞可以怀孕
haihaonidelaorenchidaimeijiangyanzhong	还好你的老人痴呆没将严重
huiquhaiyoushijianwan	回去还有时间玩
yigerenyeyaohaohaoguo	一个人也要好好过
kanzhaozhihoudouyaotule	看招之后都要吐了
erzibudainiwaner	儿子不带你玩儿
jiushibujibaitianda	就是不给白天打
wofuchuneimeduonini	我付出那么多你呢
aihaoduorenjiaoninu:shen	唉好多人叫你女神
meilingbujiugengbushixiaorenlema	没领不就更不是小人了嘛
henshaorenhuiyangmaola	很少人会养猫啦
kuaidihaoxiangduoshoulewo	快递好像多收了我
woyexiangchizheigedongxi	我也想吃这个东西
tingshuofeijicanbuhaochi	听说飞机餐不好迟
woconglaimeiyoushuoguoe	我从来没有说过哦
wodouhuazuowanbanluo	我都话左晚班罗
shenzhendaofoshangaoming	深圳到佛山高明
niqiatatajiuchushengle	你掐她她就出声了
nizhidaohouyoushaganjue	你知道后有啥感觉
ranhoukandianyingdeshihoudahantashi	然后看电影的时候大喊他是
youbenshilaixianggangya	有本事来香港呀
zheifuzhuzenmezhichi	这辅助怎么支持
jializhudaotaiqingdanlela	家里煮到太清淡了啦
shiyiqubeijingyongban	十一去北京用办
doushinidoushinidoushini	都是你都是你都是你
tuoyegecaishichuishen	拖也哥才是吹神
nikanqilaizhennianqing	你看起来真年轻
shangmianneikuanyouhaojigechicun	上面那款有好几个尺寸
woshizhendeyoubisaima	我是真的有比赛嘛
burangyaofangshenmemingzi	不让要放甚么名字
henhaoqiweishenmea	很好奇为什么啊
womeikanpengyouquandele	我没看朋友圈的勒
laopiniyenenleyidianba	老屁你也嫰了一点吧
jiushineixiemarenbudaizangzide	就是那些骂人不带脏字的
wotongshiruguoyoukongkeneng	我同事如果有空可能
woshenmedoumeiyoujiang	我什么都没有讲
yejiushibuhuiguole	也就是不回国了
neishihoulaixiyatu	那时候来西雅图
wochishenmenigenzhechi	我吃什么你跟着吃
keshinihenduozhadanle	可是你很多炸弹叻
mingtiannengdehuaxinxiwobie	明天能的话信息我别
baisanshijingjinzuhuiyi	拜三是精进组会议
nagexiangtianyegedaibia	哪个像田野个代笔啊
womeiyoufanyigebanxiaoshidanshua	我没有翻一个半小时单刷
haishibaozhenilaopo	还是抱着你老婆
jiushinisuokandedifang	就是你所看的地方
ganmawuyuanwuguchicu	干嘛无缘无故吃醋
ganmabushinisongwo	干嘛不是你送我
wozhicangshuwujianzui	我只仓鼠无间罪
suanlanidouwuhuizhijiala	算啦你都唔会知架啦
yinweizheijiahanguoyifuzhiyou	因为这家韩国衣服只有
zijidaizaizheibianhenwuliaoa	自己待在这边很无聊阿
haiyouwoxiangwenxiayao	还有我想问下要
hajiangquxuexiaozuome	蛤将去学校做么
beibibangwowanchengle	北鼻帮我完成了
wohuiqudeshihouwanshang	我回去的时候晚上
buhuikanmenjiuzuihao	不会看闷就最好
woyiweijintiancaidao	我以为今天才到
feijishangnaliyouzhanzhede	飞机上哪里有站着的
zheigekebunengfaqunli	这个可不能发群里
nikanshangwoniyanguanghencha	你看上我你眼光很差
yigewogerenshidepengyou	一个我哥认识的朋友
xiuxigoulezaixiuximo	休息够了再休息莫
yinweinazhengfudeqian	因为拿政府的钱
nierzidexifuhaimaochushengni	你儿子的媳妇还冒出生呢
neigemalaipojintianzaoshangcaijiao	那个马来婆今天早上才交
zaoshangbaobudaojiufangxue	早上抱不到就放学
wangledaoshiyouzheihuishi	忘了倒是有这回事
womingtianxiawuyoukongdagai	我明天下午有空大概
tamenzhongxuetanlianaihaihenzhengchang	他们中学谈恋爱还很正常
keyibangwosuanzongshu	可以帮我算总数
mingmingjiushijiliangchebaliao	明明就是几辆车罢料
nizuiaiderenshishei	你最爱的人是谁
neiwomaigeshaoyade	那我买个梢牙的
nihaiwoxianzaiyaoxiazaineige	你害我现在要下载那个
chuleainihainengaishei	除了爱你还能爱谁
xinjiapochejiashimeiguode	新加坡车价是美国的
laogongdengxiawozaini	老公等下我载你
babachanggezhongyukaiqiaole	爸爸唱歌终于开窍了
shijuedenibabamamahen	是觉得你爸爸妈妈很
nideaiqingwodengdetaijiu	你的爱情我等得太久
erqiexiayicijianmianyinggaihenjiuba	而且下一次见面应该很久吧
woxinyidaidenanshen	我新一代的男神
duibuqilabunengpeinipeidaoshuijue	对不起啦不能陪你陪到睡觉
worangtadaodianlideng	我让她到店里等
wozhishixiangkantadeqipa	我只是想看他的奇葩
wobujideshiyaomai	我不记得是要买
zheibiannanrendouhennenggande	这边男人都很能干的
zaibuxihahahaha	在补习哈哈哈哈
woyexiangniqinaide	我也想你亲爱的
yaoyouyidianseqingde	要有一点色情的
woshuowohaipanixihuanshangbieren	我说我害怕你喜欢上别人
fanzhengxianzaijiuxihuanni	反正现在就喜欢你
babaqunaerdiyiji	爸爸去哪儿第一季
jianfeishikaoyundongbushibuchi	减肥是靠运动不是不吃
niyaodeshihoujihuini	你要的时候给回你
nigeyaodigeyaole	呢个要睇个腰了
keshihaimeidanliangpi	可是还没胆量批
mingtianhaishiquzhaoni	明天还是去找你
nihaishuonimeiyouxihuanta	你还说你没有喜欢她
jintianyizaochumenqumaicailiaole	今天一早出门去买材料了
henzijiweishenmeneimemeiyong	恨自己为什么那么没用
mingtianwozuoshalangche	明天我坐傻浪车
woyebuzhidaonayitiao	我也不知道哪一条
womeichemeifangdezenme	我没车没房的怎么
kejiduirenleidegongxian	科技对人类的贡献
haishinidachengshihaowan	还是你大城市好玩
yunfeiyigongjinchabuduo	运费一公斤差不多
wanshangkeyikandaoyinghuochong	晚上可以看到萤火虫
bukaixindeyinggaishini	不开心的应该是你
mingmingkanjianwogenduifangdayouxishi	明明看见我跟对方打游戏是
hahahanijintianshenmexinqingya	哈哈哈你今天什么心情呀
nibawonongkaixinba	你把我弄开心吧
keshiwopawohuidaojiajiuleileile	可是我怕我回到家就累累了
zuononeyouhuandiaozhaopianla	做嚒又换掉照片啦
changjinideairenting	唱给你的爱人听
woamahuawugaoshuiyi	我啊妈话唔搞睡衣
douwuzhijuerjiazhongyoumaoniaowo	都唔知佢而家仲有冇嬲我
youkandaopengyouquanneilima	有看到朋友圈那里嘛
woyiqianxizhangguiyangjiao	我以前系张圭阳教
shoubalemashishoushang	手罢了嘛是受伤
qianduiwobijiaozhongyao	钱对我比较重要
dajiajisiguangyixia	大家集思广益下
buranwopiqiqilaile	不然我脾气起来了
laopodarenxiamianni	老婆大人下面呢
guimipaimangguokaodedangaojiushixiang	闺蜜牌芒果烤的蛋糕就是香
woyitianzhiyouyican	我一天只有一餐
sheyoudoubeinidaihuaile	舍友都被你带坏了
nishibushishengqile	你是不是生气了
ganggangchaganghaizhengchangma	刚刚查岗还正常嘛
zenmebutongmingzide	怎么不同名字的
wojidemeigerenduiwodechengnuo	我记得每个人对我的承诺
woquanbuwendewenti	我全部问的问题
youxinihuawolaode	又系你话我捞的
henkeailiebannu:sheng	很可爱咧扮女生
bigennidaqiuhailei	比跟你打球还累
wokandaotaliangyongqinglu:touxiang	我看到他俩用情侣头像
laimalaixiyabixuchangyichang	来马来西亚必须尝一尝
wozijishangxinjiuhao	我自己伤心就好
tiaorudashahezhixiwuqingge	跳入大沙河之洗唔清咯
neijiugaichengqianghongbao	那就改成抢红包
niyoushenmeshihoumeiyouheguowole	你有什么时候没有吓过我叻
wodengxiayeshichibanmian	我等下也是吃板面
meimeijigegepaode	妹妹给哥哥抛的
wobuxiangkandaonishoutaidashanghai	我不想看到你受太大伤害
dangchuwowanliutadeshihouwoshuo	当初我挽留他的时候我说
wogexiawuyaoquguangzhou	我哥下午要去广州
wozhifubaomeiqiande	我支付宝没钱的
budongweishenmewobunenggen	不懂为什么我不能跟
nideyanjingyeshihaode	你的眼睛也是好的
shabiyegouzaizheilibushinao	傻逼野狗在这里不是闹
doushuixiapuyouchuanglian	都睡下铺有窗帘
jintianjuedewogehao	今天觉得我哥好
wobudongkebukeyiei	我不懂可不可以诶
meituxiuxiutaiqiangdale	美图秀秀太强大了
woweizuoyueduxinde	我未做阅读心得
erqiezizhushichizhongwu	而且自助是吃中午
wobababuhuiyaowo	我爸爸不会要我
tupianbushizheiyangde	图片不是这样的
tameiyouhenishuoshengri	他没有和你说生日
wobajiazhaohaoxiangfangdao	我爸驾照好像放到
jinwanweigangzaifangyanhua	今晚维港在放烟花
yinweinishangcitailangle	因为你上次太浪了
zidingyizheiyangbushihenzhengchangma	自定义这样不是很正常嘛
zaibangwozuohahahawojiniluobu	再帮我做哈哈哈我给你萝卜
talaiheniyiqizhuma	她来和你一起住嘛
xianmeishubowuguan	西安美术博物馆
lianyuanyuanbunengqule	脸圆圆不能去了
youyigedifangzhiyouwomenzhidao	有一个地方只有我们知道
buxiangnijibierenkan	不想你给别人看
henghengnizaodianshuibani	哼哼你早点睡吧你
quhelaowuwanlaila	去和老吴玩来啦
nideliminhaoyouchulaile	你的李敏镐又出来了
sheijiaonikaoshiyaodaolecaidushu	谁叫你考试要到了才读书
ruguojiuqifenlijiang	如果就气氛黎讲
